Fig/Panel,Figure Type,Biomarker(s),"Cascade
Tier",MOA / Pathway Node,Upstream Node,Downstream Node,Assay / Method,Dose(s) Tested,Time Points,Data Extractability,Suggested PD Model Form,Notes / Caveats
Fig 1A,Heatmap + IC50 table,% survival (MTT); IC50 per cell line,5,Global cytotoxicity / tumor endpoint,Tiers 1-4 (integrated),—(terminal readout),"MTT colorimetric survival assay, 48h","0-800 nM, 7-8 pt curve",48h endpoint,High — IC50 values printed numerically alongside heatmap for 20 lines,Population sigmoidal Emax (4-PL); IC50 distribution = seed for virtual cell-line population,Best dataset in the paper for anchoring a population-variability layer; IC50 range 22 nM to >800 nM spans ~2 logs
Fig 1B,Dose-response curves,"% survival, primary MM patient CD138+ cells",5,Global cytotoxicity / tumor endpoint,Tiers 1-4 (integrated),—(terminal readout),MTT after CD138+ selection,"0-800 nM (implied, same range)",48h endpoint,"Medium — curves shown for 5 patients, small n, no numeric IC50 given in text (""<200 nM for 3 of 5"")",Same Emax framework as 1A but treat as sparse/exploratory patient-level validation set,"Only 3/5 samples described as responsive; useful for later clinical-translation bridging, not for primary fitting"
Fig 1C,Dose-response curves,"% survival — HS-5 stroma, THLE-3 hepatocyte, MM.1S",5,Selectivity / therapeutic index,Tiers 1-4 (integrated),—(terminal readout),"MTT, 48h",0-800 nM,48h endpoint,"High — full curves digitizable, IC50 >800 nM stated for both normal lines",Comparator Emax curves; compute selectivity index = IC50(normal)/IC50(MM.1S),Key safety-margin dataset — normal-tissue Emax curves barely move across the dose range tested
Fig 1D,Dose-response curves,% survival — PBMCs (5 donors) ± PHA stimulation,5,Selectivity / therapeutic index,Tiers 1-4 (integrated),—(terminal readout),"MTT, 48h, ± 24h PHA pre-stimulation",0-800 nM,48h endpoint,"High — multiple donor curves, plateau ≥50% at 800 nM",Same selectivity-index framework as Fig 1C,"Normalized to drug-free control per donor; PHA stimulation increases baseline proliferation, not sensitivity"
Fig 2A,Dose-response curves,% survival — parental MM.1S vs MM.1S-myrAkt,2,Akt-node genetic perturbation,Tier 1 (Akt activity),Tier 5 (viability),"MTT, 48h",0-800 nM,48h endpoint,"High — two full curves, closely overlapping",4-PL Emax fit both arms; test for Emax/EC50 equivalence,"Akt overexpression does NOT rescue — supports Akt as necessary-but-not-sufficient node; myrAkt curve is slightly LEFT-shifted (more sensitive), not protective"
Fig 2B,Dose-response curves,% survival — parental MM.1S vs MM.1S-Bcl-2,2,Bcl-2 node genetic perturbation,Tier 1 (upstream inhibition),Tier 4 (apoptosis),"CellTiter-Glo, 48h",0-800 nM,48h endpoint,High — clear plateau in Bcl-2-OE arm (~30% survival at high dose),Emax model with non-zero lower asymptote (protected fraction) for Bcl-2-OE arm vs near-zero asymptote for parental,This plateau is the key quantitative signature of a partial-protection mechanism — directly relevant to a dual-target threshold PD structure
Fig 2C,Western blot (time course),"p-Akt(Ser473), p-Akt(Thr308), total Akt",1,PI3K→Akt axis,PI3K inhibition (drug),Tier 2 (Bcl-2/Bad balance),"Immunoblot, 100 nM BEZ235 only","0,2,4,8,16,24h","Qualitative — single representative blot, no densitometry numbers reported",If densitometered: turnover/indirect-response model for %p-Akt loss vs time at fixed dose,Only ONE dose tested for kinetics — cannot fit a dose-response surface at this node without new densitometry + additional doses,
Fig 2D,Western blot (time course),"Bcl-2, Bad, Bcl-XL — parental vs MM.1S-Bcl-2",2,Anti-apoptotic buffering,Tier 1 (Akt/PI3K),Tier 4 (caspase/PARP),"Immunoblot, 100 nM BEZ235","0,2,4,8,16,24h",Qualitative — compensatory Bcl-2 rise visible in parental; stable high Bcl-2/Bad/Bcl-XL in OE line,Descriptive/mechanistic constraint rather than a fitted curve; use to justify a feedback term in the model,This is the compensatory-upregulation evidence that motivates including a resistance/feedback arm in the QSP structure,
Fig 3A,Flow cytometry (Annexin V/PI),"% Annexin V+/PI-, % Annexin V+/PI+",4,Apoptosis execution,Tier 1-3 (pathway + transcriptional),Tier 5 (viability loss),"Annexin V/PI staining, flow cytometry, 100 nM BEZ235",single dose (100 nM),"0,24,36,48h",High — quadrant percentages readable directly from each dot-plot panel,Delayed sigmoidal (Hill-type) onset model for cumulative %apoptotic vs time,Clear inflection between 24-36h — matches text's description of a committed-death window
Fig 3B,Western blot (time course),"PARP (full/cleaved), Caspase-3 (full/cleaved)",4,Apoptosis execution,Tier 2 (Bcl-2 balance),Tier 5 (viability loss),"Immunoblot, 100 nM BEZ235",single dose (100 nM),"0,2,4,8,16,24h","Qualitative — cleaved bands appear/intensify from ~8-16h onward, no densitometry",Use as a categorical gate (cleavage onset time) rather than a continuous fit unless re-densitometered,Cross-check timing against Fig 3A's flow-cytometry onset for internal consistency
